,index,Unnamed: 0,Preço,Marca,GPU,Unidades de Processamento,Tamanho da Memória (GB),Velocidade da Memória (Gbps),Tipo da Memória,Interface da Memória (Bits),Fonte Recomendada (W),Garantia (Meses),Peso
0,0,0,2699.99,MSI,AMD,2560,12.0,18.0,GDDR6,192.0,650.0,36.0,1474.0
1,1,1,2299.99,ASUS,NVIDIA,3584,12.0,15.0,GDDR6,192.0,650.0,12.0,880.0
2,2,2,1559.99,ASROCK,AMD,1792,8.0,14.0,GDDR6,128.0,500.0,12.0,627.0
3,6,6,1799.99,MSI,NVIDIA,1408,6.0,14.0,GDDR6,192.0,125.0,12.0,1576.0
4,7,7,1029.99,PNY,NVIDIA,896,4.0,8.0,GDDR5,128.0,300.0,36.0,989.0
5,8,8,2236.99,MSI,NVIDIA,3584,12.0,15.0,GDDR6,192.0,550.0,12.0,1030.0
6,9,9,1679.99,ASUS,NVIDIA,1536,6.0,12.0,GDDR6,192.0,450.0,12.0,1070.0
7,12,12,2561.99,MSI,NVIDIA,2560,8.0,14.0,GDDR6,128.0,550.0,12.0,1691.0
8,13,13,2158.99,PNY,NVIDIA,3584,8.0,15.0,GDDR6,128.0,550.0,36.0,1021.0
9,14,14,2656.99,GALAX,NVIDIA,4864,8.0,14.0,GDDR6,256.0,550.0,12.0,1441.0
10,15,15,889.99,GALAX,NVIDIA,512,4.0,12.0,GDDR6,64.0,300.0,24.0,961.0
11,16,16,1999.99,MSI,NVIDIA,2176,12.0,14.0,GDDR6,192.0,500.0,36.0,1474.0
12,17,17,2378.99,GALAX,NVIDIA,3584,12.0,15.0,GDDR6,192.0,550.0,12.0,1419.0
13,18,18,2999.99,ZOTAC,NVIDIA,4864,8.0,19.0,GDDR6X,256.0,650.0,24.0,2005.0
14,23,23,2079.99,ZOTAC,NVIDIA,3584,8.0,15.0,GDDR6,128.0,600.0,24.0,1197.0
15,26,26,2199.99,ZOTAC,NVIDIA,3584,12.0,15.0,GDDR6,192.0,600.0,12.0,1040.0
16,27,27,4859.99,PNY,NVIDIA,8704,10.0,19.0,GDDR6X,64.0,750.0,36.0,1722.0
17,31,31,1149.99,GALAX,NVIDIA,896,4.0,12.0,GDDR6,128.0,300.0,12.0,841.0
18,32,32,1099.9,GALAX,NVIDIA,896,4.0,8.0,GDDR6,128.0,300.0,12.0,726.0
19,34,34,3644.99,MSI,NVIDIA,5888,8.0,14.0,GDDR6,256.0,650.0,36.0,1709.0
20,35,35,1286.99,ASUS,NVIDIA,896,4.0,12.0,GDDR6,128.0,300.0,12.0,1070.0
21,38,38,3216.99,GALAX,NVIDIA,4864,8.0,19.0,GDDR6X,256.0,650.0,12.0,3157.0
22,40,40,2979.99,GALAX,NVIDIA,4864,8.0,19.0,GDDR6X,256.0,650.0,12.0,4893.0
23,43,43,3859.99,ASUS,NVIDIA,5888,8.0,14.0,GDDR6,256.0,750.0,12.0,1810.0
24,45,45,2972.99,ZOTAC,NVIDIA,4864,8.0,14.0,GDDR6,256.0,650.0,24.0,1064.0
25,46,46,3399.99,MSI,NVIDIA,4864,8.0,14.0,GDDR6,256.0,600.0,12.0,1647.0
26,49,49,1699.99,MSI,NVIDIA,1408,6.0,14.0,GDDR6,192.0,125.0,12.0,1020.0
27,51,51,11599.99,MSI,NVIDIA,16384,24.0,21.0,GDDR6X,384.0,850.0,12.0,4000.0
28,52,52,2283.99,ASROCK,AMD,2048,8.0,16.0,GDDR6,128.0,500.0,12.0,970.0
29,60,60,11588.99,Gigabyte,NVIDIA,16384,24.0,21.0,GDDR6X,384.0,1000.0,48.0,2860.0
30,62,62,6489.99,Gigabyte,NVIDIA,7680,12.0,21.0,GDDR6X,192.0,750.0,48.0,2300.0
31,64,64,12999.99,Gigabyte,NVIDIA,16384,24.0,21.0,GDDR6X,384.0,850.0,12.0,5000.0
32,65,65,6719.99,ZOTAC,NVIDIA,7680,12.0,21.0,GDDR6X,192.0,750.0,24.0,2538.0
33,69,69,2099.99,ASUS,NVIDIA,2560,8.0,14.0,GDDR6,128.0,550.0,12.0,890.0
34,70,70,3599.99,ASUS,NVIDIA,4864,8.0,14.0,GDDR6,256.0,750.0,12.0,920.0
35,72,72,1379.99,ZOTAC,NVIDIA,896,4.0,12.0,GDDR6,128.0,350.0,12.0,660.0
36,73,73,7359.99,ASROCK,AMD,6144,24.0,20.0,GDDR6,384.0,1000.0,12.0,2300.0
37,80,80,5199.99,Gigabyte,NVIDIA,5888,12.0,21.0,GDDR6X,192.0,650.0,12.0,1292.0
38,86,86,8358.99,GALAX,NVIDIA,9728,16.0,4.0,GDDR6X,256.0,450.0,12.0,3932.0
39,93,93,2245.9,GALAX,NVIDIA,3584,12.0,15.0,GDDR6,192.0,550.0,12.0,1320.0
40,95,95,11499.99,ZOTAC,NVIDIA,16384,24.0,21.0,GDDR6X,384.0,1000.0,24.0,2930.0
41,97,97,6479.99,ASUS,NVIDIA,7680,12.0,21.0,GDDR6X,192.0,750.0,12.0,2080.0
42,101,101,9349.99,Gigabyte,NVIDIA,9728,16.0,4.0,GDDR6X,256.0,850.0,48.0,3221.0
43,102,102,8964.99,ASUS,NVIDIA,9728,16.0,4.0,GDDR6X,256.0,750.0,12.0,3032.0
44,103,103,2957.99,POWERCOLOR,AMD,2048,8.0,5.0,GDDR6,128.0,650.0,12.0,1400.0
45,113,113,1837.24,GALAX,NVIDIA,1536,4.0,12.0,GDDR6,192.0,120.0,3.0,900.0
46,115,115,6999.99,Gigabyte,NVIDIA,7680,12.0,21.0,GDDR6X,192.0,750.0,36.0,1770.0
47,117,117,2689.99,MSI,NVIDIA,3584,12.0,15.0,GDDR6,192.0,550.0,12.0,1924.0
48,119,119,9959.99,MSI,NVIDIA,9728,16.0,4.0,GDDR6X,256.0,750.0,36.0,4000.0
49,121,121,4499.99,Colorful,NVIDIA,1408,6.0,14.0,GDDR6,192.0,450.0,12.0,1000.0
50,122,122,1499.99,MSI,AMD,1024,4.0,18.0,GDDR6,64.0,400.0,12.0,826.0
51,123,123,1119.99,XFX,AMD,768,4.0,16.0,GDDR6,64.0,400.0,12.0,240.0
52,126,126,12499.99,ZOTAC,NVIDIA,16384,24.0,21.0,GDDR6X,384.0,1000.0,24.0,3160.0
53,129,129,2219.99,MSI,NVIDIA,2560,8.0,14.0,GDDR6,128.0,550.0,12.0,1000.0
54,130,130,7629.99,Sapphire,AMD,6144,24.0,20.0,GDDR6,384.0,370.0,12.0,1930.0
55,131,131,11128.99,ZOTAC,NVIDIA,8960,12.0,19.0,GDDR6X,384.0,750.0,12.0,2824.0
56,133,133,12999.99,PNY,NVIDIA,16384,24.0,21.0,GDDR6X,384.0,1000.0,36.0,2786.0
57,134,134,7199.99,ZOTAC,NVIDIA,7680,12.0,21.0,GDDR6X,192.0,750.0,24.0,3151.0
58,135,135,8054.99,Sapphire,AMD,6144,24.0,20.0,GDDR6,384.0,420.0,12.0,2630.0
59,137,137,3259.99,XFX,AMD,1792,8.0,14.0,GDDR6,128.0,550.0,12.0,1568.0
60,138,138,2699.99,XFX,AMD,2048,8.0,5.0,GDDR6,128.0,600.0,12.0,1280.0
61,141,141,8999.99,MSI,NVIDIA,9728,16.0,4.0,GDDR6X,256.0,750.0,36.0,3500.0
62,142,142,8999.99,Gigabyte,NVIDIA,9728,16.0,4.0,GDDR6X,256.0,850.0,36.0,3291.0
63,143,143,16999.99,ZOTAC,NVIDIA,10496,24.0,5.0,GDDR6X,384.0,750.0,12.0,2260.0
64,152,152,6519.99,PNY,NVIDIA,10240,12.0,19.0,GDDR6X,384.0,350.0,36.0,1568.0
65,153,153,6799.99,GALAX,NVIDIA,7680,12.0,21.0,GDDR6X,192.0,300.0,12.0,2360.0
66,154,154,8117.99,ASUS,AMD,6144,24.0,20.0,GDDR6,384.0,850.0,12.0,3190.0
67,156,156,4999.99,GALAX,NVIDIA,5888,12.0,21.0,GDDR6X,192.0,600.0,36.0,2320.0
68,157,157,5799.99,GALAX,NVIDIA,5888,12.0,21.0,GDDR6X,192.0,600.0,36.0,2320.0
69,160,160,3623.91,ASUS,NVIDIA,5888,8.0,14.0,GDDR6,256.0,750.0,12.0,5000.0
70,166,166,2429.99,ZOTAC,NVIDIA,3584,12.0,15.0,GDDR6,192.0,600.0,12.0,1000.0
71,167,167,1709.99,GALAX,NVIDIA,1408,6.0,8.0,GDDR5,192.0,120.0,12.0,931.0
72,170,170,2399.99,XFX,AMD,2048,8.0,5.0,GDDR6,128.0,600.0,12.0,1220.0
73,171,171,12146.99,ZOTAC,NVIDIA,16384,24.0,21.0,GDDR6X,384.0,1000.0,24.0,3210.0
74,180,180,7999.99,ZOTAC,NVIDIA,9728,16.0,4.0,GDDR6X,256.0,750.0,12.0,3081.0
75,181,181,2883.99,ASUS,NVIDIA,3584,8.0,15.0,GDDR6,128.0,650.0,36.0,830.0
76,182,182,3503.99,ASROCK,AMD,2560,12.0,16.0,GDDR6,192.0,650.0,12.0,1497.0
77,198,198,4894.91,GALAX,NVIDIA,8960,12.0,19.0,GDDR6X,384.0,750.0,3.0,1800.0
78,200,200,8444.99,ZOTAC,NVIDIA,9728,16.0,4.0,GDDR6X,256.0,750.0,12.0,3030.0
79,202,202,3412.99,XFX,AMD,2560,12.0,18.0,GDDR6,192.0,750.0,12.0,2258.0
80,205,205,9999.99,ZOTAC,NVIDIA,9728,16.0,4.0,GDDR6X,256.0,750.0,12.0,3104.0
81,206,206,11499.99,ASUS,NVIDIA,9728,16.0,4.0,GDDR6X,256.0,750.0,12.0,3565.0
82,211,211,11699.9,GALAX,NVIDIA,102,24.0,2.0,GDDR6X,384.0,850.0,3.0,4000.0
83,216,216,10799.1,PALIT,NVIDIA,5888,8.0,14.0,GDDR6,256.0,250.0,12.0,2500.0
84,225,225,4110.39,GALAX,NVIDIA,104,8.0,14.0,GDDR6,256.0,650.0,12.0,1980.0
85,255,255,1313.34,MSI,NVIDIA,768,4.0,0.0,GDDR5,128.0,300.0,3.0,1588.0
86,290,290,2137.5,POWERCOLOR,AMD,1792,8.0,14.0,GDDR6,128.0,243.0,3.0,1130.0
87,295,295,2897.01,ZOTAC,NVIDIA,4864,8.0,19.0,DDR6,256.0,650.0,12.0,1510.0
88,305,305,2735.52,GALAX,NVIDIA,1920,6.0,14.0,GDDR6,192.0,500.0,3.0,1200.0
89,307,307,2339.1,PALIT,NVIDIA,896,4.0,12.0,GDDR6,128.0,300.0,3.0,1350.0
90,309,309,1617.3,GALAX,NVIDIA,1408,6.0,8.0,GDDR5,192.0,120.0,12.0,2200.0
91,314,314,2789.0,PALIT,NVIDIA,3584,12.0,15.0,GDDR6,192.0,550.0,3.0,1000.0
92,324,324,3380.86,MSI,NVIDIA,2560,8.0,14.0,GDDR6,128.0,550.0,12.0,1100.0
93,328,328,3095.73,ASUS,NVIDIA,896,4.0,12.0,GDDR6,128.0,300.0,12.0,1227.0
94,338,338,1927.48,ASROCK,AMD,6600,8.0,14.0,GDDR6,128.0,500.0,3.0,1100.0
95,348,348,8335.23,GALAX,NVIDIA,7680,12.0,21.0,GDDR6X,192.0,300.0,12.0,2610.0
96,356,356,1921.37,GALAX,NVIDIA,1408,6.0,14.0,GDDR6,64.0,125.0,12.0,946.0
97,377,377,2187.9,ASUS,NVIDIA,896,4.0,12.0,GDDR6,128.0,300.0,3.0,1166.0
98,381,381,2398.87,Colorful,NVIDIA,3584,12.0,15.0,GDDR6,192.0,550.0,12.0,1500.0
99,382,382,8078.99,Colorful,NVIDIA,10240,12.0,19.0,GDDR6X,384.0,750.0,12.0,700.0
100,386,386,997.02,GALAX,NVIDIA,512,4.0,12.0,GDDR6,64.0,300.0,12.0,760.0
101,390,390,1248.9,PALIT,NVIDIA,896,4.0,12.0,GDDR6,128.0,350.0,3.0,1350.0
102,391,391,2699.1,ASUS,NVIDIA,896,4.0,12.0,GDDR6,128.0,300.0,3.0,1133.0
103,402,402,15299.1,GALAX,NVIDIA,10240,12.0,19.0,GDDR6X,384.0,750.0,3.0,2500.0
104,410,410,976.79,Colorful,NVIDIA,512,4.0,12.0,GDDR6,64.0,400.0,12.0,660.0
105,413,413,3199.86,GALAX,NVIDIA,4864,8.0,19.0,GDDR6,256.0,650.0,12.0,1400.0
106,431,431,6816.49,Colorful,NVIDIA,7680,12.0,21.0,GDDR6X,192.0,750.0,24.0,2000.0
107,434,434,1832.38,NEOLOGIC,NVIDIA,1408,6.0,14.0,GDDR6,192.0,125.0,3.0,1860.0
108,453,453,2159.01,XFX,AMD,1792,8.0,14.0,GDDR6,128.0,550.0,3.0,2500.0
109,457,457,13599.0,MSI,NVIDIA,10752,24.0,21.0,GDDR6,384.0,850.0,3.0,1200.0
110,465,465,7744.25,PALIT,NVIDIA,7680,12.0,21.0,GDDR6X,192.0,285.0,12.0,3000.0
111,466,466,1832.38,NEOLOGIC,NVIDIA,1536,6.0,12.0,GDDR6,192.0,120.0,3.0,1860.0
113,494,494,12270.51,ZOTAC,NVIDIA,16384,24.0,21.0,DDR6,384.0,1000.0,12.0,2940.0
114,502,502,7472.52,PALIT,NVIDIA,7680,12.0,21.0,GDDR6X,192.0,285.0,12.0,2000.0
115,514,514,1378.91,ASUS,NVIDIA,896,4.0,12.0,GDDR6,128.0,300.0,12.0,2092.0
116,517,517,1194.9,GALAX,NVIDIA,896,4.0,12.0,GDDR6,128.0,300.0,12.0,800.0
117,518,518,5039.1,ASUS,NVIDIA,3584,12.0,15.0,GDDR6,192.0,650.0,3.0,1500.0
118,522,522,5399.1,ASUS,NVIDIA,3584,12.0,15.0,GDDR6,192.0,600.0,3.0,1700.0
119,542,542,16808.79,ASUS,NVIDIA,2560,8.0,14.0,GDDR6,128.0,550.0,36.0,898.0
